year,title,genres
2013,Pokemon Adventures,Action  Adventure  Comedy  Fantasy  Shounen
2013,Naruto,Action  Adventure  Comedy  Drama  Fantasy  Shounen
2013,Rurouni Kenshin,Action  Comedy  Drama  Historical  Martial Arts  Romance  Shounen
2013,Skip Beat,Comedy  Drama  Romance  Slice of Life  Shoujo
2013,One Piece,Action  Adventure  Comedy  Drama  Fantasy  Shounen
2013,Death Note,Drama  Mystery  Psychological  Supernatural  Tragedy  Shounen
2013,Fruits Basket,Comedy  Drama  Romance  School Life  Supernatural  Shoujo
2014,Bleach,Action  Adventure  Comedy  Drama  Supernatural  Shounen
2014,Soul Eater,Action  Adventure  Comedy  Drama  Horror  School Life  Supernatural  Shounen
2014,Psyren,Action  Adventure  Romance  Sci-fi  Supernatural  Shounen
2014,Dragon Ball,Action  Adventure  Comedy  Drama  Fantasy  Sci-fi  Shounen
2014,Attack on Titan,Action  Drama  Fantasy  Horror  Mature  Mystery  Psychological  Supernatural  Tragedy  Shounen
2014,Angel Densetsu,Action  Comedy  Martial Arts  Romance  School Life  Slice of Life  Shounen
2014,Bloody Monday,Action  Drama  Psychological  School Life  Sci-fi  Shounen 
2014,Cardcaptor Sakura,Action  Comedy  Drama  Fantasy  Romance  School Life  Shoujo  Supernatural 
2014,InuYasha,Action  Adventure  Comedy  Drama  Fantasy  Historical  Romance  Shounen  Supernatural 
2014,Beelzebub,Action  Comedy  Drama  School Life  Shounen  Supernatural 
2014,Ouran High School Host Club,Comedy  Drama  Gender Bender  Harem  Romance  School Life  Shoujo 
2014,Kekkaishi,Action  Adventure  Comedy  Drama  School Life  Shounen  Supernatural 
2014,Katekyo Hitman Reborn!,Action  Adventure  Comedy  Drama  School Life  Shounen  Supernatural 
2014,Shugo Chara!,Comedy  Drama  Fantasy  Harem  Mystery  Romance  School Life  Slice of Life  Supernatural  Shoujo
2014,Chobits,Comedy  Drama  Ecchi  Romance  Sci-fi  Seinen  Supernatural 
2014,Hikaru no Go,Comedy  Drama  School Life  Shounen  Sports  Supernatural 
2014,Eyeshield 21,Action  Comedy  School Life  Shounen  Sports 
2014,xxxHolic,Comedy  Drama  Fantasy  Mystery  Psychological  School Life  Seinen  Supernatural 
